CLOTHING_SHOES_AND_JEWELRY CATEGORIES
============================================================
Total unique categories: 3758

   Count  Category
------------------------------------------------------------
 7217167  Clothing, Shoes & Jewelry
 4222567  Women
 2964944  Clothing
 1809246  Men
 1705319  Shoes
  744836  Jewelry
  585691  Accessories
  499836  Novelty & More
  471857  Novelty
  413265  T-Shirts
  348996  Tops, Tees & Blouses
  331842  Athletic
  330590  Sandals
  324246  Active
  309997  Girls
  300211  Shirts
  293461  Dresses
  218506  Lingerie, Sleep & Lounge
  184548  Boys
  174384  Earrings
  173103  Necklaces
  170000  Watches
  169848  Boot Shop
  168332  Hats & Caps
  166014  Westlake
  164127  Sport Specific Clothing
  159176  Handbags & Wallets
  153813  Casual
  153745  Fashion Sneakers
  153199  Baby
  152281  Boots
  149093  Wrist Watches
  143764  Running
  142304  Luggage & Travel Gear
  141559  Flats
  132101  Bracelets
  126577  Costumes & Accessories
  125274  Tops & Tees
  125140  Sleep & Lounge
  121258  Swimsuits & Cover Ups
  120314  Sweaters
  117516  Sets
  115627  Lingerie
  107547  Rings
  106949  Fashion
  105079  Sunglasses & Eyewear Accessories
   98778  Baby Girls
   96283  Blouses & Button-Down Shirts
   94281  Pumps
   87725  Loafers & Slip-Ons
   87003  Pants
   81028  Pendant Necklaces
   80212  Platforms & Wedges
   78900  Uniforms, Work & Safety
   78868  Sunglasses
   77899  Coats, Jackets & Vests
   77880  Jackets & Coats
   77714  Fashion Hoodies & Sweatshirts
   76630  Road Running
   75785  Slippers
   72596  Tunics
   71775  Tanks & Camis
   70632  Active Shirts & Tees
   70490  Drop & Dangle
   64827  Bras
   64272  Socks
   64059  Wallets, Card Cases & Money Organizers
   63287  Costumes
   62655  Jeans
   62566  Outdoor & Work
   62279  Socks & Hosiery
   59925  Shoe, Jewelry & Watch Accessories
   59069  Leggings
   55750  Ankle & Bootie
   55003  Body Jewelry
   53668  Baby Boys
   53438  Pullovers
   52712  Underwear
   52066  Bikinis
   51856  Wallets
   51091  Baseball Caps
   48733  Active Pants
   48518  Clothing Sets
   48354  Costumes & Cosplay Apparel
   48013  Shorts
   47812  Heeled Sandals
   47291  Stud
   47002  Sneakers
   46852  Cardigans
   46153  Piercing Jewelry
   45786  Walking
   45495  Active Shorts
   44932  Oxfords
   42129  Casual Button-Down Shirts
   41483  Outdoor
   40041  Jumpsuits, Rompers & Overalls
   39731  Skirts
   39479  Hiking & Trekking
   38993  Flip-Flops
   38885  Crossbody Bags
   38608  Swim
   37807  Mules & Clogs
   37089  Hoodies
   37064  Cycling
   36842  Belts
   36474  Everyday Bras
   36464  Shoulder Bags
   35491  Athletic Socks
   35416  Snow & Cold Weather
   34973  Backpacks
   34594  One-Pieces
   32589  Charms & Charm Bracelets
   31976  Scarves & Wraps
   31708  Statement
   31175  Jewelry Accessories
   30957  Team Sports
   30435  Tees
   30361  Golf
   30308  Tops
   30174  Polos
   29175  Pant Sets
   29170  Luggage
   28668  Bottoms
   28543  Kids & Baby
   28204  Hoop
   27918  Slides
   27779  Sleepwear & Robes
   26457  Totes
   26265  Jewelry Boxes & Organizers
   26191  Riding
   25978  Robes
   25949  Panties
   25672  Chelsea
   25656  Jumpsuits
   25609  Charms
   25376  Cover-Ups
   25369  Water Shoes
   25066  Skullies & Beanies
   25042  Work & Utility
   24461  Nightgowns & Sleepshirts
   24452  Vests
   24350  Travel Accessories
   24126  Yoga
   23626  Sports Bras
   23373  Gloves & Mittens
   22825  Casual Daypacks
   21834  Shoe Care & Accessories
   21790  Trail Running
   21596  Jackets
   20712  Active & Performance
   20626  Mid-Calf
   20603  Basketball
   20360  Link
   20237  Bodysuits
   20108  Medical
   19594  Boxer Briefs
   19475  Base Layers & Compression
   19372  Club & Night Out
   19131  Sport Sandals & Slides
   19096  Pajama Sets
   18769  Special Occasion
   18722  Brooches & Pins
   18331  Suits & Sport Coats
   18122  Fashion Scarves
   17962  Hiking Boots
   17833  Combat
   17831  Bangle
   17638  Pendants & Coins
   17450  Jewelry Sets
   17416  Cocktail
   17317  Formal
   17218  Fleece
   17125  Fitness & Cross-Training
   17098  Sweatpants
   16945  Hiking Shoes
   16931  Chains
   16912  Rompers
   16853  Balaclavas
   16582  Ties, Cummerbunds & Pocket Squares
   16445  Cold Weather Gloves
   16220  Briefs
   16201  Rain
   16103  Bead
   15963  Knee-High
   15896  Keyrings, Keychains & Charms
   15695  Suiting & Blazers
   15570  Gloves
   15547  Chukka
   15378  Skiing
   15307  Western
   15011  Masks
   14800  Watch Bands
   14797  Clutches & Evening Bags
   14758  Tops, Tees & Shirts
   14377  Bands
   14189  Chokers
   13934  Wedding & Engagement
   13918  Dress Shirts
   13870  Work
   13812  Active Hoodies
   13812  Top-Handle Bags
   13561  Jerseys
   13450  Cuff
   13299  Pendants Only
   13205  Skateboarding
   13122  Exotic Apparel
   13018  Keychains
   12939  Tank Tops
   12916  Work Utility & Safety
   12711  Soccer
   12696  Short Sets
   12413  Wigs
   12272  Jewelry Boxes
   12243  Maternity
   12200  Footies & Rompers
   12120  Leather & Faux Leather
   12100  Eyewear Frames
   12095  Down & Down Alternative
   12063  Board Shorts
   12004  Dance
   11942  Travel Duffels
   11721  Lightweight Jackets
   11713  Tankinis
