CLOTHING LEAF CATEGORIES (For Review Mining)
============================================================
Total: 2195 categories

   Count  Category
------------------------------------------------------------
  413265  T-Shirts
  348996  Tops, Tees & Blouses
  330590  Sandals
  300211  Shirts
  293461  Dresses
  218506  Lingerie, Sleep & Lounge
  174384  Earrings
  173103  Necklaces
  170000  Watches
  168332  Hats & Caps
  159176  Handbags & Wallets
  153745  Fashion Sneakers
  152281  Boots
  149093  Wrist Watches
  142304  Luggage & Travel Gear
  141559  Flats
  132101  Bracelets
  126577  Costumes & Accessories
  125274  Tops & Tees
  125140  Sleep & Lounge
  121258  Swimsuits & Cover Ups
  120314  Sweaters
  115627  Lingerie
  107547  Rings
  105079  Sunglasses & Eyewear Accessories
   96283  Blouses & Button-Down Shirts
   94281  Pumps
   87725  Loafers & Slip-Ons
   87003  Pants
   81028  Pendant Necklaces
   80212  Platforms & Wedges
   78900  Uniforms, Work & Safety
   78868  Sunglasses
   77899  Coats, Jackets & Vests
   77880  Jackets & Coats
   77714  Fashion Hoodies & Sweatshirts
   75785  Slippers
   72596  Tunics
   71775  Tanks & Camis
   70632  Active Shirts & Tees
   70490  Drop & Dangle
   64827  Bras
   64272  Socks
   64059  Wallets, Card Cases & Money Organizers
   63287  Costumes
   62655  Jeans
   62279  Socks & Hosiery
   59925  Shoe, Jewelry & Watch Accessories
   59069  Leggings
   55750  Ankle & Bootie
   55003  Body Jewelry
   53438  Pullovers
   52712  Underwear
   52066  Bikinis
   51856  Wallets
   51091  Baseball Caps
   48733  Active Pants
   48518  Clothing Sets
   48354  Costumes & Cosplay Apparel
   48013  Shorts
   47812  Heeled Sandals
   47291  Stud
   47002  Sneakers
   46852  Cardigans
   46153  Piercing Jewelry
   45495  Active Shorts
   44932  Oxfords
   42129  Casual Button-Down Shirts
   40041  Jumpsuits, Rompers & Overalls
   39731  Skirts
   38993  Flip-Flops
   38885  Crossbody Bags
   37807  Mules & Clogs
   37089  Hoodies
   36842  Belts
   36474  Everyday Bras
   36464  Shoulder Bags
   35491  Athletic Socks
   34973  Backpacks
   34594  One-Pieces
   32589  Charms & Charm Bracelets
   31976  Scarves & Wraps
   31708  Statement
   31175  Jewelry Accessories
   30435  Tees
   30174  Polos
   29175  Pant Sets
   29170  Luggage
   28204  Hoop
   27918  Slides
   27779  Sleepwear & Robes
   26457  Totes
   26265  Jewelry Boxes & Organizers
   25978  Robes
   25949  Panties
   25672  Chelsea
   25656  Jumpsuits
   25609  Charms
   25376  Cover-Ups
   25369  Water Shoes
   25066  Skullies & Beanies
   25042  Work & Utility
   24461  Nightgowns & Sleepshirts
   24452  Vests
   24350  Travel Accessories
   23626  Sports Bras
   23373  Gloves & Mittens
   22825  Casual Daypacks
   21834  Shoe Care & Accessories
   21596  Jackets
   20712  Active & Performance
   20626  Mid-Calf
   20603  Basketball
   20360  Link
   20237  Bodysuits
   19594  Boxer Briefs
   19475  Base Layers & Compression
   19131  Sport Sandals & Slides
   19096  Pajama Sets
   18722  Brooches & Pins
   18331  Suits & Sport Coats
   18122  Fashion Scarves
   17962  Hiking Boots
   17833  Combat
   17831  Bangle
   17638  Pendants & Coins
   17450  Jewelry Sets
   17416  Cocktail
   17218  Fleece
   17125  Fitness & Cross-Training
   17098  Sweatpants
   16945  Hiking Shoes
   16931  Chains
   16912  Rompers
   16853  Balaclavas
   16582  Ties, Cummerbunds & Pocket Squares
   16220  Briefs
   16201  Rain
   16103  Bead
   15963  Knee-High
   15896  Keyrings, Keychains & Charms
   15695  Suiting & Blazers
   15570  Gloves
   15547  Chukka
   15378  Skiing
   15307  Western
   15011  Masks
   14800  Watch Bands
   14797  Clutches & Evening Bags
   14758  Tops, Tees & Shirts
   14377  Bands
   14189  Chokers
   13934  Wedding & Engagement
   13918  Dress Shirts
   13812  Active Hoodies
   13812  Top-Handle Bags
   13561  Jerseys
   13450  Cuff
   13299  Pendants Only
   13205  Skateboarding
   13122  Exotic Apparel
   13018  Keychains
   12939  Tank Tops
   12916  Work Utility & Safety
   12711  Soccer
   12696  Short Sets
   12413  Wigs
   12272  Jewelry Boxes
   12243  Maternity
   12200  Footies & Rompers
   12120  Leather & Faux Leather
   12100  Eyewear Frames
   12095  Down & Down Alternative
   12063  Board Shorts
   11942  Travel Duffels
   11721  Lightweight Jackets
   11713  Tankinis
   11621  Trench, Rain & Anoraks
   11583  Shapewear
   11578  Down Jackets & Parkas
   11540  Barbells
   11436  Military
   10785  Competitive Swimwear
   10769  Sun Hats
   10662  Neckties
   10495  Rash Guard Shirts
   10447  Anklets
   10277  Tracksuits
   10251  Blazers
   10192  Umbrellas
   10068  Trunks
    9969  Stretch
    9642  Replacement Sunglass Lenses
    9626  Gym Bags
    9541  Active Sweatshirts
    9287  Buttons & Pins
    9149  Sleep Bottoms
    9146  Tennis & Racquet Sports
    9142  Skirts & Skorts
    9128  Thermal Underwear
    9096  Scrub Tops
    9053  Messenger Bags
    9053  Motorcycle
    9044  Dress
    8863  Pendants
    8816  Necklaces & Pendants
    8715  Evening Bags
    8668  Satchels
    8445  Track & Active Jackets
    8365  Denim
    8281  Shoelaces
    8141  Kids' Backpacks
    7946  Henleys
    7882  Casual Jackets
    7874  Headwear
    7852  Calf Socks
    7697  Carry-Ons
    7675  Shearling
    7495  Cargo
    7478  Wedding Rings
    7224  Raincoats
    7200  Strand
    7149  Headbands
    7132  Tights, Pants & Shorts
    7112  Overalls
    6996  Flat Front
    6898  Cuff Links
    6886  Compression Pants & Tights
    6879  Watch Accessories
    6805  Industrial & Construction Boots
    6799  Tights
    6789  Wraps & Pashminas
    6753  Fedoras
    6704  Plugs
    6575  Card & ID Cases
    6554  Suitcases
    6444  Suits
    6295  Scarves
    6267  Slipper Socks
    6233  Wristlets
    6221  Active Tracksuits
    6177  Work & Safety
    6172  Playwear
    6111  Charm Bracelets
    5962  Packing Organizers
    5940  Luggage Tags & Handle Wraps
    5929  Hobo Bags
    5899  Clutches
    5880  Fur & Faux Fur
    5856  Cold Weather Scarves & Wraps
    5824  Ballet & Dance
    5808  Active Base Layers
    5776  Wool & Pea Coats
    5679  Tanks Tops
    5666  Clogs & Mules
    5664  Luggage Tags
    5664  Sweatshirts
    5661  Newsboy Caps
    5660  Stacking
    5652  One-Piece Suits
    5567  Sport Coats & Blazers
    5538  Sleep Sets
    5439  G-Strings & Thongs
    5416  Neck Gaiters
    5318  Suit Sets
    5280  Sports Duffels
    5247  Undershirts
    5235  Snow & Rainwear
    5200  Plus-Size Fashion
    5121  Windbreakers
    5070  Shoe Decoration Charms
    5041  Coin Purses & Pouches
    5029  No Show & Liner Socks
    5015  Socks & Tights
    4968  Cuffs & Wraps
    4966  Skirt Sets
    4964  Bandanas
    4962  Shells
    4911  Special Occasion Accessories
    4849  Jewelry Trays
    4847  Leg Warmers
    4811  Tennis
    4755  Two-Pieces
    4752  Jewelry Towers
    4715  Tunnels
    4712  Camisoles & Tanks
    4689  Scrub Bottoms
    4688  Track Pants
    4549  Shrugs
    4535  Boxers
    4520  Waist Packs
    4496  Luggage Sets
    4445  Suspenders
    4414  Stick Umbrellas
    4342  Fashion Backpacks
    4295  Wrap
    4266  Props
    4217  Bow Ties
    4208  Button-Down Shirts
    4153  Eyeglass Cases
    4135  Denim Jackets
    4127  Handbag Accessories
    4063  Card Cases
    4018  Slips
    4011  Tie Sets
    3989  Studs
    3912  Wool & Blends
    3912  Women's Plus-Size Apparel
    3905  Clip-Ons
    3839  One-Piece Pajamas
    3824  Cowboy Hats
    3757  Engagement Rings
    3667  Active Skirts
    3663  Snowboarding
    3646  Strands
    3619  Wedding Bands
    3610  Nursing
    3569  Pants & Capris
    3551  Accessory Sets
    3539  Keyrings & Keychains
    3511  Clasp
    3504  Loose Gemstones
    3466  Fascinators
    3448  Hipsters
    3400  Weapons & Armor
    3380  Sheers
    3351  Trench & Rain
    3345  Loafers
    3327  Briefcases
    3303  Charm
    3290  Cotton
    3289  Drawstring Bags
    3282  Folding Umbrellas
    3274  Insulated Shells
    3273  Belt Buckles
    3233  Bucket Hats
    3174  Soccer & Futsal
    3169  Baby Dolls & Chemises
    3111  Food Service
    3100  Lockets
    3076  Casual & Dress Socks
    3034  Over-the-Knee
    3031  Nightgowns
    3022  Active Sweatsuits
    3013  Bibs & Pants
    3011  Overalls & Coveralls
    3007  Y-Necklaces
    3002  Pocket Watches
    2973  Swimwear Sets
    2914  Trench Coats
    2906  Health Care & Food Service
    2887  Repair Tools & Kits
    2875  Swimwear
    2870  Scrub Sets
    2867  Travel Totes
    2850  Insulated
    2842  Faux Body Piercing Jewelry
    2813  Compression Shorts
    2806  Boy Shorts
    2802  Bowling
    2763  Screws
    2741  Women's Swimwear
    2728  Active Skorts
    2723  Half Slips
    2716  Robes, Capes & Jackets
    2698  Control Panties
    2695  Blanket Sleepers
    2695  Body Chains
    2691  Lingerie Sets
    2689  Shorts & Trunks
    2673  Rash Guard Sets
    2667  Girls Sneakers
    2650  Visors
    2641  Handbag Organizers
    2639  Footies
    2634  Baseball & Softball
    2634  Beanies & Knit Hats
    2598  Rain Jackets
    2580  Intimates
    2574  Equestrian Sports
    2515  Bustiers & Corsets
    2496  Track & Field & Cross Country
    2489  Toe Rings
    2422  Shoe Care Treatments & Dyes
    2420  Applique Patches
    2401  One Pieces
    2399  Martial Arts
    2377  Tie Clips
    2376  Compression Socks
    2337  Eyeglass Chains
    2321  Quilted Lightweight Jackets
    2278  Pearl Strands
    2253  Passport Wallets
    2228  Rain Footwear
    2211  Waist Cinchers
    2208  Hoodies & Active
    2154  Sport Headbands
    2150  Mittens
    2122  Hunting
    2118  Healthcare Uniforms
    2116  Footwear
    2111  Bridal Sets
    2079  Snake
    2065  Snow Suits
    2018  Passport Covers
    1987  Cabinets & Cases
    1968  School Uniforms
    1959  Earmuffs
    1942  Money Clips
    1936  Sport Sandals
    1931  Women's Halloween Costumes
    1919  Luggage Straps
    1914  Fashion-forward finds
    1899  Men's Halloween Costumes
    1890  Volleyball
    1869  Berets
    1843  Collars
    1835  Travel Wallets
    1776  Women's Apparel
    1774  Football
    1758  Tights & Pants
    1755  Night Out
    1727  Motorcycle & Combat
    1725  Pullover
    1685  Jammers
    1631  Mary Jane
    1619  Handkerchiefs
    1618  Tapers
    1616  Baseball
    1604  Identification
    1560  Jewelry Armoires
    1519  Adhesive Bras
    1517  Breeches
    1514  Liners & Ankle Socks
    1514  Garment Bags
    1510  Cold Weather Scarves
    1509  Two-Piece Suits
    1492  PattyBoutik Apparel
    1485  Shoe & Boot Trees
    1430  Bomber Hats
    1429  Anoraks
    1426  Cardigan
    1415  Kids' and Baby Halloween Costumes
    1399  Handbag Hangers
    1380  American Football
    1379  Nursing & Maternity Bras
    1363  Shoe Treatments & Polishes
    1362  Climbing
    1354  Promise Rings
    1339  Watch Winders
    1322  Minimizers
    1305  Active Underwear
    1273  Layette Sets
    1268  Oxford & Derby
    1262  Hats & Headwear
    1256  Gemstones
    1246  Varsity Jackets
    1240  Gymnastics
    1230  Jumpsuits & Rompers
    1206  Training Bras
    1197  Shoe Horns & Boot Jacks
    1178  Athletic & Outdoor
    1172  Caps
    1161  Ball
    1153  Shoe Bags
    1141  Chef Jackets
    1126  Checkbook Covers
    1113  Wedding Dresses
    1109  Suit Separates
    1105  Jiu-Jitsu
    1102  Breast Petals
    1097  Racquet Sports
    1091  Leotards
    1087  Italian Style
    1080  Arm Warmers
    1074  Scrub Jackets
    1059  Equestrian Sport Boots
    1056  Ice & Snow Grips
    1054  Backpacking Boots
    1046  Eternity Rings
    1043  Workout Top & Bottom Sets
    1029  Wrestling
    1024  Full Slips
    1019  Makeup, Facial Hair & Adhesives
     992  Shoe Polishes
     961  Cheerleading
     955  Snow Boots
     950  Tuxedos
     946  Boys Athletic
     941  Handbags & Shoulder Bags
     930  Shoe Care Kits
     928  Lab Coats
     912  Dress Coats
     911  Bridal Accessories
     892  Sleep Tops
     859  Tankini Sets
     856  Jewelry Rolls
     839  Teddies & Bodysuits
     830  Suit Jackets
